date,season,opp,location,score_rslt,score_gf,score_ga,score_ot,team_sog,team_pim,team_ppg,team_ppo,team_shg,opponent_sog,opponent_pim,opponent_ppg,opponent_ppo,opponent_shg
2023-10-12,2024-25,FLA,home,W,2,0,NA,21,10,1,4,0,41,12,0,3,0
2023-10-14,2024-25,TOR,away,L,4,7,NA,32,13,0,1,0,33,9,2,3,0
2023-10-17,2024-25,MTL,away,W,5,2,NA,35,44,3,8,2,28,40,0,5,0
2023-10-19,2024-25,LAK,home,L,3,7,NA,32,0,0,4,0,27,8,0,0,1
2023-10-21,2024-25,CBJ,home,L,4,5,OT,28,6,0,3,0,54,6,1,3,0
2023-10-24,2024-25,EDM,home,W,7,4,NA,32,17,0,3,0,28,13,1,5,0
2023-10-26,2024-25,PHI,away,L,2,6,NA,28,11,0,2,0,35,9,2,3,0
2023-10-27,2024-25,WSH,away,L,2,3,SO,41,8,0,5,0,33,12,1,3,1
2023-10-29,2024-25,NJD,away,L,3,4,NA,34,6,1,6,0,30,12,2,3,0
2023-11-02,2024-25,NJD,home,L,3,5,NA,25,10,1,2,0,38,4,3,5,0
2023-11-04,2024-25,NYR,home,W,5,4,SO,39,2,0,4,0,18,8,0,1,0
2023-11-07,2024-25,NYI,away,W,4,2,NA,31,14,1,4,0,29,12,1,5,0
2023-11-09,2024-25,NYR,away,L,1,4,NA,26,7,0,1,0,28,7,1,1,0
2023-11-10,2024-25,BUF,away,L,2,3,NA,35,8,2,5,0,25,10,0,4,0
2023-11-12,2024-25,DAL,home,L,3,8,NA,26,30,1,5,0,37,15,5,8,2
2023-11-18,2024-25,OTT,away,L,1,2,SO,25,13,0,4,0,31,13,0,4,0
2023-11-19,2024-25,TOR,home,L,3,4,OT,36,4,0,3,0,25,6,1,2,0
2023-11-24,2024-25,COL,home,L,2,3,NA,21,14,1,5,0,25,12,1,6,0
2023-11-26,2024-25,DET,away,L,1,4,NA,38,14,1,5,0,23,14,2,5,0
2023-11-28,2024-25,STL,home,W,3,1,NA,37,8,0,1,0,24,2,0,4,0
2023-11-30,2024-25,NSH,away,W,6,1,NA,31,17,1,4,0,27,17,0,4,0
2023-12-03,2024-25,CHI,home,W,4,1,NA,34,6,2,3,0,29,6,1,3,0
2023-12-05,2024-25,CGY,away,W,5,2,NA,29,13,1,3,0,30,13,0,3,0
2023-12-07,2024-25,VAN,away,L,0,2,NA,26,14,0,1,0,17,12,0,2,0
2023-12-08,2024-25,EDM,away,L,3,4,NA,20,10,0,2,0,40,6,2,4,0
2023-12-10,2024-25,SEA,away,W,3,0,NA,26,6,0,2,0,24,4,0,3,0
2023-12-14,2024-25,CGY,home,W,3,2,SO,32,8,0,3,0,37,8,1,3,1
2023-12-16,2024-25,VAN,home,W,2,1,SO,31,10,0,2,0,36,4,0,5,0
2023-12-18,2024-25,PIT,away,L,3,4,NA,27,14,0,3,0,30,10,2,5,0
2023-12-19,2024-25,BOS,away,W,4,3,OT,30,28,1,1,0,43,14,1,3,0
2023-12-21,2024-25,MTL,home,W,4,3,OT,24,25,2,6,0,25,19,1,5,0
2023-12-23,2024-25,BOS,home,W,3,2,NA,35,9,1,5,0,21,15,1,2,0
2023-12-27,2024-25,DET,home,W,6,3,NA,31,4,0,2,0,28,4,1,2,0
2023-12-30,2024-25,WPG,away,L,2,4,NA,36,15,1,5,0,32,17,0,4,0
2023-12-31,2024-25,WPG,home,L,2,3,NA,26,11,1,1,0,29,7,1,3,0
2024-01-02,2024-25,CGY,home,L,1,3,NA,29,4,0,3,0,33,8,0,1,0
2024-01-04,2024-25,TBL,home,L,1,4,NA,23,11,0,1,0,30,7,1,3,0
2024-01-06,2024-25,CBJ,away,W,4,3,OT,36,10,2,4,0,29,10,1,4,0
2024-01-08,2024-25,DAL,home,L,0,4,NA,23,4,0,6,0,20,12,1,2,2
2024-01-10,2024-25,DAL,away,L,2,7,NA,23,6,1,2,0,34,6,0,2,0
